,Assay,Sample,Ct,treatment,time,cell_line,replicate
2,ACTA2,TGFb_8_C_4,25.41157,TGFb,8,C,4
3,ATP6AP1,TGFb_8_C_4,25.61412,TGFb,8,C,4
4,BGN,TGFb_8_C_4,23.42581,TGFb,8,C,4
5,IL6,TGFb_8_C_4,27.87759,TGFb,8,C,4
6,ITGA2,TGFb_8_C_4,26.52444,TGFb,8,C,4
7,JUNB,TGFb_8_C_4,24.88774,TGFb,8,C,4
8,LOXL1,TGFb_8_C_4,22.96886,TGFb,8,C,4
9,TGFBR2,TGFb_8_C_4,23.90674,TGFb,8,C,4
10,COL5A1,TGFb_8_C_4,24.29084,TGFb,8,C,4
11,DCN,TGFb_8_C_4,21.27135,TGFb,8,C,4
12,ELN,TGFb_8_C_4,24.87177,TGFb,8,C,4
13,ETS1,TGFb_8_C_4,26.94346,TGFb,8,C,4
14,CDKN2A,TGFb_8_C_4,27.35727,TGFb,8,C,4
15,PSMD14,TGFb_8_C_4,27.17801,TGFb,8,C,4
16,RARA,TGFb_8_C_4,27.05319,TGFb,8,C,4
17,RHOB,TGFb_8_C_4,23.41164,TGFb,8,C,4
18,TIMP3,TGFb_8_C_4,24.21435,TGFb,8,C,4
19,PPP3CA,TGFb_8_C_4,25.28054,TGFb,8,C,4
20,CDKN2B,TGFb_8_C_4,27.3062,TGFb,8,C,4
21,COL1A2,TGFb_8_C_4,19.67501,TGFb,8,C,4
22,COL4A1,TGFb_8_C_4,NA,TGFb,8,C,4
23,MMP1,TGFb_8_C_4,26.75277,TGFb,8,C,4
24,MMP14,TGFb_8_C_4,23.83131,TGFb,8,C,4
25,NOX4,TGFb_8_C_4,24.88783,TGFb,8,C,4
26,PMEPA1,TGFb_8_C_4,25.18524,TGFb,8,C,4
27,TIMP1,TGFb_8_C_4,20.63791,TGFb,8,C,4
28,FGF2,TGFb_8_C_4,26.36526,TGFb,8,C,4
30,GUSB,TGFb_8_C_4,26.91286,TGFb,8,C,4
31,ID1,TGFb_8_C_4,26.09081,TGFb,8,C,4
32,SKI,TGFb_8_C_4,24.17121,TGFb,8,C,4
33,SMAD3,TGFb_8_C_4,25.28193,TGFb,8,C,4
34,SPARC,TGFb_8_C_4,21.36531,TGFb,8,C,4
35,TGFBR1,TGFb_8_C_4,26.23127,TGFb,8,C,4
36,VIM,TGFb_8_C_4,18.06701,TGFb,8,C,4
37,TP53BP1,TGFb_8_C_4,25.47177,TGFb,8,C,4
38,ADAMTS1,TGFb_8_C_4,24.48248,TGFb,8,C,4
39,B2M,TGFb_8_C_4,20.41202,TGFb,8,C,4
40,BHLHE40,TGFb_8_C_4,27.3408,TGFb,8,C,4
41,ITGA1,TGFb_8_C_4,26.85482,TGFb,8,C,4
42,JUN,TGFb_8_C_4,25.13682,TGFb,8,C,4
43,LARP6,TGFb_8_C_4,25.61567,TGFb,8,C,4
44,LOXL2,TGFb_8_C_4,25.83809,TGFb,8,C,4
45,THBS1,TGFb_8_C_4,21.55983,TGFb,8,C,4
46,CTGF,TGFb_8_C_4,21.82826,TGFb,8,C,4
47,EGR2,TGFb_8_C_4,28.19121,TGFb,8,C,4
48,ENG,TGFb_8_C_4,24.10194,TGFb,8,C,4
49,FBLN1,TGFb_8_C_4,20.31158,TGFb,8,C,4
50,PPIA,TGFb_8_C_4,22.68501,TGFb,8,C,4
51,PTEN,TGFb_8_C_4,24.55195,TGFb,8,C,4
52,RARG,TGFb_8_C_4,26.27952,TGFb,8,C,4
53,SERPINE1,TGFb_8_C_4,21.38768,TGFb,8,C,4
54,VCAN,TGFb_8_C_4,23.1836,TGFb,8,C,4
55,CAV1,TGFb_8_C_4,21.73009,TGFb,8,C,4
57,COL1A1,TGFb_8_C_4,19.36523,TGFb,8,C,4
59,LTBP2,TGFb_8_C_4,23.18704,TGFb,8,C,4
60,MMP13,TGFb_8_C_4,29.21904,TGFb,8,C,4
61,MMP2,TGFb_8_C_4,21.27657,TGFb,8,C,4
62,PDGFA,TGFb_8_C_4,28.78467,TGFb,8,C,4
63,THBS2,TGFb_8_C_4,23.09567,TGFb,8,C,4
64,FBN1,TGFb_8_C_4,23.12243,TGFb,8,C,4
65,FN1,TGFb_8_C_4,18.02251,TGFb,8,C,4
66,GADD45B,TGFb_8_C_4,24.92439,TGFb,8,C,4
67,HAS2,TGFb_8_C_4,27.39997,TGFb,8,C,4
68,SERPINE2,TGFb_8_C_4,21.36736,TGFb,8,C,4
69,SKIL,TGFb_8_C_4,25.11662,TGFb,8,C,4
70,SMAD7,TGFb_8_C_4,26.90168,TGFb,8,C,4
71,TGFB1,TGFb_8_C_4,24.11067,TGFb,8,C,4
72,VEGFA,TGFb_8_C_4,28.65826,TGFb,8,C,4
74,ACTA2,Control_2_F_4,25.34825,Control,2,F,4
75,ATP6AP1,Control_2_F_4,24.94058,Control,2,F,4
76,BGN,Control_2_F_4,23.82567,Control,2,F,4
77,IL6,Control_2_F_4,28.62021,Control,2,F,4
78,ITGA2,Control_2_F_4,25.67294,Control,2,F,4
79,JUNB,Control_2_F_4,27.21979,Control,2,F,4
80,LOXL1,Control_2_F_4,23.80326,Control,2,F,4
81,TGFBR2,Control_2_F_4,23.97466,Control,2,F,4
82,COL5A1,Control_2_F_4,26.76191,Control,2,F,4
83,DCN,Control_2_F_4,21.75257,Control,2,F,4
84,ELN,Control_2_F_4,30.61342,Control,2,F,4
85,ETS1,Control_2_F_4,27.9548,Control,2,F,4
86,CDKN2A,Control_2_F_4,27.47606,Control,2,F,4
87,PSMD14,Control_2_F_4,26.70481,Control,2,F,4
88,RARA,Control_2_F_4,27.7026,Control,2,F,4
89,RHOB,Control_2_F_4,24.01107,Control,2,F,4
90,TIMP3,Control_2_F_4,22.10243,Control,2,F,4
91,PPP3CA,Control_2_F_4,26.02709,Control,2,F,4
92,CDKN2B,Control_2_F_4,28.48916,Control,2,F,4
93,COL1A2,Control_2_F_4,20.49569,Control,2,F,4
94,COL4A1,Control_2_F_4,26.05031,Control,2,F,4
95,MMP1,Control_2_F_4,26.51203,Control,2,F,4
96,MMP14,Control_2_F_4,22.81445,Control,2,F,4
97,NOX4,Control_2_F_4,29.42749,Control,2,F,4
98,PMEPA1,Control_2_F_4,30.19068,Control,2,F,4
99,TIMP1,Control_2_F_4,18.90803,Control,2,F,4
100,FGF2,Control_2_F_4,26.53991,Control,2,F,4
102,GUSB,Control_2_F_4,26.94502,Control,2,F,4
103,ID1,Control_2_F_4,27.55363,Control,2,F,4
104,SKI,Control_2_F_4,25.01324,Control,2,F,4
105,SMAD3,Control_2_F_4,25.15693,Control,2,F,4
106,SPARC,Control_2_F_4,22.0447,Control,2,F,4
107,TGFBR1,Control_2_F_4,27.21094,Control,2,F,4
108,VIM,Control_2_F_4,18.79804,Control,2,F,4
109,TP53BP1,Control_2_F_4,25.9875,Control,2,F,4
110,ADAMTS1,Control_2_F_4,25.20989,Control,2,F,4
111,B2M,Control_2_F_4,20.76487,Control,2,F,4
112,BHLHE40,Control_2_F_4,29.81258,Control,2,F,4
113,ITGA1,Control_2_F_4,29.84257,Control,2,F,4
114,JUN,Control_2_F_4,25.02246,Control,2,F,4
115,LARP6,Control_2_F_4,25.64081,Control,2,F,4
116,LOXL2,Control_2_F_4,27.56192,Control,2,F,4
117,THBS1,Control_2_F_4,21.48746,Control,2,F,4
118,CTGF,Control_2_F_4,26.51663,Control,2,F,4
119,EGR2,Control_2_F_4,32.11103,Control,2,F,4
120,ENG,Control_2_F_4,25.08293,Control,2,F,4
121,FBLN1,Control_2_F_4,19.15025,Control,2,F,4
122,PPIA,Control_2_F_4,23.291,Control,2,F,4
123,PTEN,Control_2_F_4,26.2238,Control,2,F,4
124,RARG,Control_2_F_4,26.53055,Control,2,F,4
125,SERPINE1,Control_2_F_4,23.63683,Control,2,F,4
126,VCAN,Control_2_F_4,24.98982,Control,2,F,4
127,CAV1,Control_2_F_4,21.86193,Control,2,F,4
129,COL1A1,Control_2_F_4,21.51067,Control,2,F,4
131,LTBP2,Control_2_F_4,24.36666,Control,2,F,4
132,MMP13,Control_2_F_4,29.83318,Control,2,F,4
133,MMP2,Control_2_F_4,21.51998,Control,2,F,4
134,PDGFA,Control_2_F_4,31.51956,Control,2,F,4
135,THBS2,Control_2_F_4,22.62301,Control,2,F,4
136,FBN1,Control_2_F_4,23.79605,Control,2,F,4
137,FN1,Control_2_F_4,18.18611,Control,2,F,4
138,GADD45B,Control_2_F_4,27.5275,Control,2,F,4
139,HAS2,Control_2_F_4,32.56071,Control,2,F,4
140,SERPINE2,Control_2_F_4,21.20818,Control,2,F,4
141,SKIL,Control_2_F_4,27.34079,Control,2,F,4
142,SMAD7,Control_2_F_4,28.31754,Control,2,F,4
143,TGFB1,Control_2_F_4,25.37272,Control,2,F,4
144,VEGFA,Control_2_F_4,27.44361,Control,2,F,4
146,ACTA2,TGFb_72_F_4,20.75722,TGFb,72,F,4
147,ATP6AP1,TGFb_72_F_4,25.23342,TGFb,72,F,4
148,BGN,TGFb_72_F_4,21.52183,TGFb,72,F,4
149,IL6,TGFb_72_F_4,27.12379,TGFb,72,F,4
150,ITGA2,TGFb_72_F_4,26.55163,TGFb,72,F,4
151,JUNB,TGFb_72_F_4,24.998,TGFb,72,F,4
152,LOXL1,TGFb_72_F_4,22.21761,TGFb,72,F,4
153,TGFBR2,TGFb_72_F_4,24.25235,TGFb,72,F,4
154,COL5A1,TGFb_72_F_4,23.27461,TGFb,72,F,4
155,DCN,TGFb_72_F_4,22.09825,TGFb,72,F,4
156,ELN,TGFb_72_F_4,22.2582,TGFb,72,F,4
157,ETS1,TGFb_72_F_4,26.23036,TGFb,72,F,4
158,CDKN2A,TGFb_72_F_4,28.27723,TGFb,72,F,4
159,PSMD14,TGFb_72_F_4,26.32529,TGFb,72,F,4
160,RARA,TGFb_72_F_4,27.22693,TGFb,72,F,4
161,RHOB,TGFb_72_F_4,23.20599,TGFb,72,F,4
