"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,77.7777777777778,100
"ADAMTS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2M",1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,33.3333333333333,77.7777777777778
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"BHLHE40",0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,22.2222222222222,44.4444444444444
"CAV1",1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,44.4444444444444,55.5555555555556
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,88.8888888888889
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL1A2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL4A1",0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,77.7777777777778,66.6666666666667
"COL5A1",0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,55.5555555555556,66.6666666666667
"CTGF",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,66.6666666666667,100
"DCN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"EGR2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,33.3333333333333,0
"ELN",0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,66.6666666666667,33.3333333333333
"ENG",1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,33.3333333333333,66.6666666666667
"ETS1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,22.2222222222222,0
"FBLN1",0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,55.5555555555556
"FBN1",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,88.8888888888889,88.8888888888889
"FGF2",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,55.5555555555556,100
"FN1",0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,66.6666666666667,33.3333333333333
"GADD45B",1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,33.3333333333333,77.7777777777778
"GUSB",1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,55.5555555555556,66.6666666666667
"HAS2",0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,55.5555555555556,33.3333333333333
"ID1",1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.3333333333333,33.3333333333333
"IL6",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.1111111111111,11.1111111111111
"ITGA1",1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,66.6666666666667,44.4444444444444
"ITGA2",1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,44.4444444444444,77.7777777777778
"JUN",0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,33.3333333333333,66.6666666666667
"JUNB",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,33.3333333333333,22.2222222222222
"LARP6",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22.2222222222222,11.1111111111111
"LOXL1",1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,44.4444444444444,44.4444444444444
"LOXL2",0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,11.1111111111111,66.6666666666667
"LTBP2",0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,66.6666666666667,66.6666666666667
"MMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"MMP13",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,22.2222222222222,33.3333333333333
"MMP14",0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,77.7777777777778,11.1111111111111
"MMP2",0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,88.8888888888889,66.6666666666667
"NOX4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111
"PDGFA",1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,33.3333333333333,66.6666666666667
"PMEPA1",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,66.6666666666667,100
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMD14",1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,55.5555555555556,55.5555555555556
"PTEN",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,55.5555555555556,55.5555555555556
"RHOB",1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,77.7777777777778,33.3333333333333
"SERPINE1",1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,33.3333333333333,88.8888888888889
"SERPINE2",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,88.8888888888889
"SKI",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,44.4444444444444
"SKIL",0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,55.5555555555556,77.7777777777778
"SMAD3",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.5555555555556
"SMAD7",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333
"SPARC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"TGFB1",0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,55.5555555555556,33.3333333333333
"TGFBR1",1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,55.5555555555556,100
"TGFBR2",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,22.2222222222222,88.8888888888889
