"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88.8888888888889,100
"ADAMTS1",0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,22.2222222222222,44.4444444444444
"ATP6AP1",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,77.7777777777778,88.8888888888889
"B2M",1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,22.2222222222222,100
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88.8888888888889,100
"BHLHE40",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11.1111111111111,11.1111111111111
"CAV1",1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,100,55.5555555555556
"CDKN2A",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,22.2222222222222,33.3333333333333
"CDKN2B",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,55.5555555555556,88.8888888888889
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL1A2",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,77.7777777777778,100
"COL4A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,77.7777777777778,100
"COL5A1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,66.6666666666667,100
"CTGF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"DCN",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,55.5555555555556,100
"EGR2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88.8888888888889,100
"ELN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"ENG",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,55.5555555555556,100
"ETS1",1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,44.4444444444444,22.2222222222222
"FBLN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"FBN1",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,77.7777777777778,88.8888888888889
"FGF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"FN1",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,55.5555555555556,100
"GADD45B",0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,77.7777777777778,33.3333333333333
"GUSB",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,11.1111111111111,100
"HAS2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"ID1",1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,55.5555555555556,66.6666666666667
"IL6",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11.1111111111111,22.2222222222222
"ITGA1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"ITGA2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
