"","tgfb_perc","ctrl_perc"
"ACTA2",100,33.3333333333333
"ADAMTS1",0,0
"ATP6AP1",0,0
"B2M",33.3333333333333,33.3333333333333
"BGN",100,0
"BHLHE40",0,0
"CAV1",66.6666666666667,0
"CDKN2A",0,0
"CDKN2B",66.6666666666667,0
"COL1A1",100,100
"COL1A2",66.6666666666667,66.6666666666667
"COL4A1",66.6666666666667,0
"COL5A1",33.3333333333333,0
"CTGF",100,100
"DCN",0,0
"EGR2",100,0
"ELN",100,66.6666666666667
"ENG",66.6666666666667,0
"ETS1",0,0
"FBLN1",66.6666666666667,0
"FBN1",66.6666666666667,100
"FGF2",66.6666666666667,33.3333333333333
"FN1",0,33.3333333333333
"GADD45B",33.3333333333333,0
"GUSB",0,0
"HAS2",100,66.6666666666667
"ID1",0,66.6666666666667
"IL6",33.3333333333333,0
"ITGA1",100,0
"ITGA2",100,0
"JUN",33.3333333333333,0
"JUNB",0,0
"LARP6",33.3333333333333,0
"LOXL1",100,33.3333333333333
"LOXL2",66.6666666666667,0
"LTBP2",100,66.6666666666667
"MMP1",100,100
"MMP13",0,0
"MMP14",0,0
"MMP2",33.3333333333333,0
"NOX4",100,0
"PDGFA",66.6666666666667,0
"PMEPA1",66.6666666666667,0
"PPIA",0,0
"PPP3CA",0,0
"PSMD14",0,0
"PTEN",66.6666666666667,0
"RARA",33.3333333333333,0
"RARG",66.6666666666667,0
"RHOB",0,0
"SERPINE1",100,0
"SERPINE2",66.6666666666667,66.6666666666667
"SKI",33.3333333333333,0
"SKIL",0,0
"SMAD3",66.6666666666667,0
"SMAD7",0,0
"SPARC",100,100
"TGFB1",0,0
"TGFBR1",66.6666666666667,66.6666666666667
"TGFBR2",66.6666666666667,0
"THBS1",100,33.3333333333333
"THBS2",66.6666666666667,66.6666666666667
"TIMP1",66.6666666666667,0
"TIMP3",100,33.3333333333333
"TP53BP1",0,0
"VCAN",0,0
"VEGFA",100,33.3333333333333
"VIM",66.6666666666667,0
