"","tgfb_perc","ctrl_perc"
"ACTA2",100,33.3333333333333
"ADAMTS1",66.6666666666667,0
"ATP6AP1",0,0
"B2M",33.3333333333333,66.6666666666667
"BGN",100,66.6666666666667
"BHLHE40",33.3333333333333,0
"CAV1",66.6666666666667,0
"CDKN2A",33.3333333333333,33.3333333333333
"CDKN2B",100,0
"COL1A1",100,66.6666666666667
"COL1A2",100,66.6666666666667
"COL4A1",33.3333333333333,66.6666666666667
"COL5A1",66.6666666666667,0
"CTGF",66.6666666666667,66.6666666666667
"DCN",66.6666666666667,0
"EGR2",100,0
"ELN",100,0
"ENG",66.6666666666667,66.6666666666667
"ETS1",33.3333333333333,33.3333333333333
"FBLN1",66.6666666666667,33.3333333333333
"FBN1",100,33.3333333333333
"FGF2",66.6666666666667,66.6666666666667
"FN1",0,100
"GADD45B",33.3333333333333,66.6666666666667
"GUSB",33.3333333333333,0
"HAS2",100,0
"ID1",0,0
"IL6",0,0
"ITGA1",66.6666666666667,66.6666666666667
"ITGA2",0,66.6666666666667
"JUN",33.3333333333333,33.3333333333333
"JUNB",0,66.6666666666667
"LARP6",33.3333333333333,66.6666666666667
"LOXL1",100,33.3333333333333
"LOXL2",33.3333333333333,33.3333333333333
"LTBP2",100,0
"MMP1",100,100
"MMP13",0,0
"MMP14",0,66.6666666666667
"MMP2",33.3333333333333,66.6666666666667
"NOX4",100,0
"PDGFA",33.3333333333333,0
"PMEPA1",66.6666666666667,0
"PPIA",0,0
"PPP3CA",0,0
"PSMD14",0,0
"PTEN",33.3333333333333,0
"RARA",0,0
"RARG",66.6666666666667,66.6666666666667
"RHOB",33.3333333333333,66.6666666666667
"SERPINE1",66.6666666666667,66.6666666666667
"SERPINE2",66.6666666666667,66.6666666666667
"SKI",33.3333333333333,0
"SKIL",0,33.3333333333333
"SMAD3",100,0
"SMAD7",0,0
"SPARC",100,0
"TGFB1",0,33.3333333333333
"TGFBR1",66.6666666666667,0
"TGFBR2",66.6666666666667,33.3333333333333
"THBS1",66.6666666666667,33.3333333333333
"THBS2",66.6666666666667,66.6666666666667
"TIMP1",66.6666666666667,66.6666666666667
"TIMP3",66.6666666666667,33.3333333333333
"TP53BP1",0,0
"VCAN",0,0
"VEGFA",100,66.6666666666667
"VIM",0,0
