"","tgfb_perc","ctrl_perc"
"ACTA2",100,33.3333333333333
"ADAMTS1",66.6666666666667,0
"ATP6AP1",0,0
"B2M",0,66.6666666666667
"BGN",100,66.6666666666667
"BHLHE40",0,0
"CAV1",33.3333333333333,0
"CDKN2A",33.3333333333333,0
"CDKN2B",33.3333333333333,0
"COL1A1",100,66.6666666666667
"COL1A2",100,0
"COL4A1",0,66.6666666666667
"COL5A1",66.6666666666667,0
"CTGF",66.6666666666667,66.6666666666667
"DCN",33.3333333333333,0
"EGR2",100,0
"ELN",100,0
"ENG",33.3333333333333,66.6666666666667
"ETS1",33.3333333333333,0
"FBLN1",66.6666666666667,0
"FBN1",100,0
"FGF2",66.6666666666667,66.6666666666667
"FN1",0,100
"GADD45B",0,33.3333333333333
"GUSB",33.3333333333333,0
"HAS2",66.6666666666667,0
"ID1",0,0
"IL6",0,0
"ITGA1",66.6666666666667,66.6666666666667
"ITGA2",0,0
"JUN",33.3333333333333,0
"JUNB",0,66.6666666666667
"LARP6",0,33.3333333333333
"LOXL1",66.6666666666667,33.3333333333333
"LOXL2",33.3333333333333,0
"LTBP2",100,0
"MMP1",66.6666666666667,66.6666666666667
"MMP13",0,0
"MMP14",0,33.3333333333333
"MMP2",33.3333333333333,66.6666666666667
"NOX4",100,0
"PDGFA",0,0
"PMEPA1",66.6666666666667,0
"PPIA",0,0
"PPP3CA",0,0
"PSMD14",0,0
"PTEN",0,0
"RARA",0,0
"RARG",66.6666666666667,66.6666666666667
"RHOB",0,66.6666666666667
"SERPINE1",66.6666666666667,66.6666666666667
"SERPINE2",33.3333333333333,66.6666666666667
"SKI",0,0
"SKIL",0,33.3333333333333
"SMAD3",100,0
"SMAD7",0,0
"SPARC",100,0
"TGFB1",0,0
"TGFBR1",66.6666666666667,0
"TGFBR2",66.6666666666667,0
"THBS1",66.6666666666667,0
"THBS2",66.6666666666667,33.3333333333333
"TIMP1",66.6666666666667,66.6666666666667
"TIMP3",66.6666666666667,0
"TP53BP1",0,0
"VCAN",0,0
"VEGFA",100,33.3333333333333
"VIM",0,0
